Ref,Description,Package,Value,Qty,Mouser,Tayda
-12v Banana Socket,Test Plugs & Test Jacks VERTICAL PCB MOUNT,,,1,510-CT3151V1-6,
(+)12v Banana Socket,Test Plugs & Test Jacks VERTICAL PCB MOUNT,,,1,510-CT3151V1-4,
GND Banana Socket,Test Plugs & Test Jacks VERTICAL PCB MOUNT,,,1,510-CT3151V1-0,
5v Banana Socket,Test Plugs & Test Jacks VERTICAL PCB MOUNT,,,1,510-CT3151V1-2,
"F1, F2, F3",Resettable Fuses - PPTC 1.1A 30V,,,3,652-MF-R110-2,
"C1, C2, C3, C4, C7, C8",Aluminum Electrolytic,5mm Pitch,47uF,6,667-EEU-FC1J470B,
"C5, C6, C9",Aluminum Electrolytic,5mm Pitch,22uF,3,667-EEU-FC1H220B,
"FB1, FB2, FB3",Ferrite Beads EMI/RFI Suppressor Filter,,,3,807-4211R-29TR,
16 pin sockets,2 Row 16 Position 2.54 mm pitch sockets,,,5,517-N2516-6002RB,
-12v Test Probe Socket,Test Plugs & Test Jacks horizontal,DO-35,,2,530-105-0760-1,
(+)12v Test Probe Socket,Test Plugs & Test Jacks horizontal,HC49,,1,530-105-0757-1,
GND Test Probe Socket,Test Plugs & Test Jacks horizontal,DIP8,,1,530-105-0753-150,
5v Test Probe Socket,Test Plugs & Test Jacks horizontal,DIP14,,1,530-105-0752-1,
Terminal Block,4 Pole - Fixed Terminal Block,5mm pitch,,1,490-TB001-500-04BE,
,TBD100x100t PCB,100x100,,1,,